Entity,Code,Year,0_0_Plastic_t_y
Bahrain,BHR,2019,1043
Bangladesh,BGD,2019,1021990
Brunei,BRN,2019,692
Cambodia,KHM,2019,247495
China,CHN,2019,12272200
Hong Kong,HKG,2019,5781
India,IND,2019,12994100
Indonesia,IDN,2019,824234
Japan,JPN,2019,35684
Malaysia,MYS,2019,814454
Maldives,MDV,2019,60
Myanmar,MMR,2019,434432
North Korea,PRK,2019,322
Oman,OMN,2019,1251
Philippines,PHL,2019,4025300
Singapore,SGP,2019,2468
South Korea,KOR,2019,12156
Sri Lanka,LKA,2019,155466
Taiwan,TWN,2019,7502
Thailand,THA,2019,1361690
Vietnam,VNM,2019,1112790
